Make,Type,Year,Origin,Options,Gear_Type,Mileage,Region,Price
Toyota,FJ,2012,Other,Full,Automatic,69000,Makkah,0
Nissan,Armada,2012,Saudi,Full,Automatic,138000,Jeddah,60000
Audi,A3,2016,Saudi,Full,Automatic,59000,Jeddah,70000
Toyota,Camry,2019,Saudi,Full,Automatic,36000,Aseer,95000
Nissan,Murano,2008,Saudi,Standard,Automatic,300,Riyadh,9500
Toyota,Hilux,2013,Saudi,Full,Manual,399,Wadi Dawasir,0
Dodge,Durango,2016,Saudi,Standard,Automatic,48000,Riyadh,0
Chevrolet,Tahoe,2013,Saudi,Standard,Automatic,350000,Dammam,50000
Toyota,Ciocca,2010,Saudi,Standard,Automatic,192000,Jeddah,0
Kia,Sportage,2017,Saudi,Standard,Automatic,75000,Al-Ahsa,50000
Ford,Taurus,2010,Other,Full,Automatic,163,Jazan,0
Toyota,Cressida,1991,Other,Full,Manual,100,Riyadh,5000
Lexus,LX,2020,Saudi,Full,Automatic,10800,Jeddah,418000
Ford,Expedition,2011,Saudi,Semi Full,Automatic,173000,Jubail,0
Toyota,Cressida,1991,Saudi,Semi Full,Manual,3000000,Jeddah,0
Ford,Expedition,2007,Saudi,Semi Full,Automatic,300,Aseer,18000
Hyundai,Elantra,2006,Other,Standard,Manual,2500,Jeddah,9500
Chevrolet,Tahoe,2013,Other,Standard,Automatic,350,Dammam,0
Land Rover,Range Rover,2020,Saudi,Full,Automatic,100,Dammam,700000
BMW,X,2020,Gulf Arabic,Full,Automatic,2300,Dammam,465000
BMW,The 7,2020,Gulf Arabic,Full,Automatic,4500,Dammam,325000
Aston Martin,DB9,2010,Saudi,Full,Automatic,71000,Dammam,180000
Maserati,Quattroporte,2014,Gulf Arabic,Full,Automatic,115000,Dammam,125000
Porsche,Cayman,2008,Saudi,Full,Automatic,66000,Dammam,70000
Maserati,Levante,2020,Saudi,Full,Automatic,500,Dammam,370000
Audi,A8,2019,Saudi,Full,Automatic,41000,Dammam,325000
Audi,A8,2018,Gulf Arabic,Full,Automatic,68800,Dammam,315000
Mercedes,C,2019,Saudi,Semi Full,Automatic,44000,Dammam,185000
Mercedes,C,2018,Saudi,Full,Automatic,44000,Dammam,180000
Suzuki,Jimny,2020,Saudi,Full,Automatic,12000,Dammam,175000
Mercedes,C,2015,Saudi,Full,Automatic,125000,Dammam,119000
Toyota,Land Cruiser,2013,Unknown,Full,Automatic,200000,Riyadh,0
Kia,Carenz,2013,Gulf Arabic,Semi Full,Automatic,149000,Riyadh,0
Lexus,LX,1999,Other,Standard,Automatic,300,Riyadh,0
Nissan,Armada,2007,Gulf Arabic,Full,Automatic,290000,Jeddah,0
Ford,Marquis,2005,Gulf Arabic,Semi Full,Automatic,291000,Aseer,0
Ford,Taurus,2010,Other,Semi Full,Automatic,318000,Riyadh,23000
Maserati,Levante,2020,Saudi,Full,Automatic,3000,Dammam,385000
Lexus,ES,2018,Gulf Arabic,Full,Automatic,90000,Qassim,0
Nissan,Altima,1993,Other,Full,Manual,250,Dammam,0
Nissan,Land Cruiser Pickup,2014,Saudi,Standard,Manual,17300,Riyadh,0
Toyota,Camry,2017,Other,Full,Automatic,88348,Qassim,70000
Toyota,Furniture,2015,Saudi,Semi Full,Automatic,114900,Jeddah,55000
Bentley,Flying Spur,2009,Saudi,Full,Automatic,49000,Makkah,220000
Chevrolet,Cruze,2013,Saudi,Semi Full,Automatic,197000,Dammam,14500
Chevrolet,Caprice,2015,Saudi,Standard,Automatic,262,Jeddah,0
Chevrolet,Tahoe,2020,Saudi,Standard,Automatic,30000,Dammam,155000
Mazda,CX9,2014,Saudi,Full,Automatic,1700000,Makkah,0
BMW,The 7,2018,Saudi,Semi Full,Automatic,36000,Riyadh,230000
Chevrolet,Lumina,2003,Saudi,Full,Automatic,200000,Riyadh,0
Jeep,Grand Cherokee,2013,Saudi,Full,Automatic,77000,Dammam,77000
Toyota,Camry,2016,Gulf Arabic,Standard,Automatic,73000,Qassim,61000
Jaguar,F-Pace,2017,Other,Semi Full,Automatic,199,Riyadh,155000
Toyota,Furniture,2017,Saudi,Semi Full,Automatic,83000,Al-Medina,110000
GMC,Suburban,2000,Saudi,Semi Full,Automatic,128000,Aseer,80000
Kia,Mohave,2017,Other,Semi Full,Automatic,75000,Riyadh,0
Mercedes,E,2017,Gulf Arabic,Full,Automatic,31000,Riyadh,226000
Hyundai,Accent,2019,Saudi,Standard,Automatic,72000,Dammam,40000
Great Wall,Wingle,2020,Saudi,Full,Manual,73000,Jeddah,1197
Chevrolet,Impala,2016,Saudi,Full,Automatic,162000,Dammam,80000
Ford,Marquis,1998,Saudi,Full,Automatic,492360,Riyadh,0
Toyota,Camry,2019,Saudi,Full,Automatic,77000,Khobar,90000
Ford,Mustang,2015,Other,Standard,Manual,119000,Dammam,85000
Toyota,Hilux,2020,Saudi,Full,Automatic,7833,Al-Baha,0
Ford,Ranger,2015,Saudi,Semi Full,Manual,155000,Riyadh,0
Hyundai,Senta fe,2016,Saudi,Semi Full,Automatic,212000,Dammam,57000
Toyota,Corolla,2010,Saudi,Standard,Manual,3500000,Sakaka,22000
Hyundai,Tucson,2013,Saudi,Semi Full,Automatic,120000,Jeddah,32000
Volkswagen,Jetta,2017,Saudi,Full,Automatic,82000,Riyadh,54000
Ford,Taurus,2015,Other,Full,Automatic,217000,Riyadh,49000
Nissan,Datsun,2016,Saudi,Full,Manual,121122,Al-Ahsa,0
Renault,Safrane,2011,Saudi,Standard,Automatic,290,Jubail,0
Nissan,Altima,2018,Gulf Arabic,Semi Full,Automatic,78592,Qassim,64000
Toyota,Prado,2020,Saudi,Semi Full,Automatic,17000,Dammam,0
Toyota,Prado,2020,Saudi,Semi Full,Automatic,17000,Dammam,173000
Mercedes,S,2014,Gulf Arabic,Full,Automatic,124000,Dammam,215000
Mercedes,E,2016,Other,Full,Automatic,106642,Qassim,0
Chevrolet,Tahoe,2020,Saudi,Standard,Automatic,26500,Arar,0
Nissan,Datsun,2016,Saudi,Semi Full,Manual,25000,Abha,0
Chevrolet,Spark,2017,Saudi,Semi Full,Automatic,108,Dammam,20000
Nissan,Sylvian Bus,1998,Saudi,Standard,Manual,200000,Dammam,14000
Toyota,Camry,2001,Saudi,Standard,Manual,439000,Dammam,12000
Chevrolet,Tahoe,2021,Saudi,Standard,Automatic,7700,Hail,0
GMC,Yukon,2002,Other,Semi Full,Automatic,300000,Jeddah,10000
Hyundai,Sonata,2019,Saudi,Standard,Automatic,110875,Riyadh,57000
Renault,Dokker,2018,Saudi,Standard,Manual,88000,Riyadh,30000
Toyota,Prado,2018,Gulf Arabic,Semi Full,Automatic,92000,Dammam,130000
Toyota,Land Cruiser,2021,Saudi,Semi Full,Automatic,15000,Dammam,262000
Ford,Fusion,2012,Saudi,Standard,Automatic,219000,Jazan,14500
Lexus,LX,2014,Saudi,Full,Automatic,150000,Dammam,190000
Lexus,LX,2010,Saudi,Semi Full,Automatic,301000,Dammam,0
Ford,Mustang,2001,Other,Full,Automatic,163000,Jubail,12000
Toyota,Land Cruiser Pickup,2018,Saudi,Full,Manual,28000,Dammam,147000
Toyota,Hilux,2016,Gulf Arabic,Full,Manual,172000,Dammam,77000
Toyota,Land Cruiser,2019,Saudi,Full,Automatic,63000,Dammam,252000
GMC,Sierra,2015,Saudi,Standard,Automatic,86000,Dammam,98000
Toyota,Land Cruiser,2019,Saudi,Full,Automatic,53000,Dammam,255000
Lexus,LX,2020,Gulf Arabic,Full,Automatic,9000,Dammam,423000
Hyundai,Elantra,2019,Saudi,Standard,Automatic,73000,Dammam,48500
GMC,Sierra,2015,Saudi,Standard,Automatic,77000,Dammam,105000
Toyota,FJ,2014,Saudi,Semi Full,Automatic,199000,Dammam,95000
HAVAL,H6,2020,Saudi,Standard,Automatic,20000,Dammam,57000
GMC,Sierra,2021,Saudi,Full,Automatic,2000,Dammam,187000
Nissan,X-Terra,2013,Saudi,Full,Automatic,95000,Qassim,61000
Toyota,Land Cruiser,2019,Gulf Arabic,Full,Manual,74000,Dammam,180000
Dodge,Charger,2019,Saudi,Semi Full,Automatic,56000,Al-Medina,108000
Mazda,CX9,2020,Saudi,Standard,Automatic,31200,Dammam,110000
Kia,Optima,2019,Saudi,Semi Full,Automatic,54000,Aseer,1493
Mercedes,S,2020,Gulf Arabic,Full,Automatic,46000,Dammam,365000
Nissan,Sunny,2016,Saudi,Standard,Automatic,97000,Riyadh,0
Chevrolet,Tahoe,2019,Saudi,Standard,Automatic,117000,Riyadh,145000
Toyota,Previa,2017,Gulf Arabic,Standard,Automatic,139000,Riyadh,69000
Toyota,Land Cruiser,2014,Gulf Arabic,Semi Full,Automatic,106000,Riyadh,129000
Toyota,Land Cruiser,2012,Saudi,Full,Automatic,327000,Riyadh,0
Lexus,LX,2004,Other,Full,Automatic,274000,Riyadh,65000
Mercedes,C,2016,Saudi,Semi Full,Automatic,140000,Dammam,105000
Nissan,Patrol,2009,Saudi,Standard,Manual,155,Hail,0
GMC,Sierra,2014,Other,Full,Automatic,235,Najran,72000
Chrysler,C300,2014,Saudi,Full,Automatic,170,Qassim,0
Mazda,6,2020,Saudi,Full,Automatic,50000,Riyadh,100000
Hyundai,Other,2011,Other,Full,Automatic,270,Dammam,30000
Toyota,Camry,2015,Saudi,Standard,Automatic,310000,Makkah,30000
Toyota,Corolla,2020,Saudi,Semi Full,Automatic,19000,Riyadh,0
Honda,Accord,2015,Gulf Arabic,Semi Full,Automatic,124040,Al-Medina,75000
BMW,The 5,2005,Other,Semi Full,Automatic,278878,Makkah,0
GMC,Yukon,2005,Other,Full,Automatic,300000,Al-Ahsa,0
Mercedes,S,2007,Saudi,Full,Automatic,200000,Al-Medina,0
Nissan,Patrol,2016,Saudi,Standard,Manual,250000,Hail,0
Ford,Marquis,2010,Other,Semi Full,Automatic,349000,Al-Medina,0
GMC,Acadia,2013,Saudi,Semi Full,Automatic,201,Al-Medina,0
GMC,Suburban,2001,Saudi,Semi Full,Automatic,300000,Jeddah,15000
Nissan,Patrol,1999,Saudi,Standard,Manual,600,Al-Medina,16000
Ford,Expedition,2010,Other,Full,Automatic,335000,Al-Medina,65000
Hyundai,H100,2016,Other,Full,Automatic,145000,Qassim,0
Toyota,Land Cruiser Pickup,2014,Saudi,Semi Full,Manual,118000,Jeddah,0
Toyota,Hilux,2015,Saudi,Full,Manual,180,Jazan,50000
Kia,Cerato,2012,Saudi,Full,Automatic,260000,Jeddah,0
Chevrolet,Tahoe,2005,Saudi,Full,Automatic,404846,Al-Ahsa,13500
Lexus,LX,2013,Other,Full,Automatic,62000,Aseer,0
Mercedes,S,2012,Saudi,Semi Full,Automatic,170000,Jeddah,85000
Hyundai,Senta fe,2014,Saudi,Full,Automatic,200203,Khobar,0
Kia,K5,2021,Saudi,Standard,Automatic,18000,Riyadh,88000
Nissan,Navara,2013,Saudi,Standard,Manual,300000,Abha,0
Toyota,Land Cruiser,2003,Saudi,Full,Automatic,360000,Dammam,0
Toyota,Prado,2014,Saudi,Semi Full,Automatic,160,Al-Ahsa,79000
Changan,CS95,2021,Saudi,Full,Automatic,40000,Hail,0
Kia,Sportage,2015,Unknown,Standard,Automatic,147000,Riyadh,38000
Honda,Civic,2008,Unknown,Standard,Automatic,450000,Dammam,15000
Toyota,Hilux,2015,Saudi,Full,Automatic,205629,Riyadh,0
Toyota,Hilux,2016,Unknown,Full,Manual,218000,Al-Ahsa,0
Chevrolet,Tahoe,2008,Unknown,Semi Full,Automatic,85000,Riyadh,0
GMC,Sierra,2010,Saudi,Full,Automatic,114000,Riyadh,0
Toyota,Camry,2005,Unknown,Full,Automatic,437000,Qassim,13000
Toyota,Rush,2020,Saudi,Standard,Automatic,55000,Jeddah,52000
Nissan,Sunny,2011,Saudi,Semi Full,Automatic,212000,Riyadh,15000
Hyundai,Accent,2012,Saudi,Standard,Manual,279000,Riyadh,0
Toyota,Hilux,2014,Other,Semi Full,Manual,432000,Riyadh,45000
Chevrolet,Tahoe,2012,Saudi,Standard,Automatic,297000,Jeddah,52000
Kia,Optima,2020,Saudi,Semi Full,Automatic,69000,Jubail,0
Hyundai,Elantra,2020,Saudi,Standard,Automatic,9000,Riyadh,0
Toyota,Hilux,2015,Saudi,Full,Manual,374000,Hail,72000
Hyundai,Azera,2015,Saudi,Full,Automatic,187,Taef,0
Honda,Accord,2019,Saudi,Semi Full,Automatic,18000,Jeddah,95000
Ford,Marquis,2008,Saudi,Semi Full,Automatic,380000,Taef,15000
Toyota,Hilux,1997,Saudi,Standard,Manual,1000000,Jeddah,0
Chevrolet,Suburban,2011,Saudi,Semi Full,Automatic,399,Al-Jouf,37000
Ford,Vego,2017,Saudi,Full,Automatic,93000,Riyadh,26000
GMC,Suburban,2001,Saudi,Standard,Automatic,718314,Taef,0
Kia,Sportage,2016,Saudi,Standard,Automatic,109000,Jubail,40000
Toyota,Hilux,2021,Saudi,Standard,Manual,3500,Al-Medina,0
Lexus,LS,2011,Saudi,Full,Automatic,195000,Dammam,0
Hyundai,Senta fe,2011,Saudi,Semi Full,Automatic,140000,Riyadh,39000
Toyota,Hilux,2012,Saudi,Full,Manual,395000,Aseer,0
Toyota,Camry,2016,Gulf Arabic,Full,Automatic,247,Riyadh,55000
GMC,Sierra,2013,Saudi,Standard,Automatic,292000,Dammam,45000
Ford,Expedition,2018,Saudi,Full,Automatic,44200,Dammam,159000
Hyundai,Senta fe,2009,Saudi,Full,Automatic,260000,Riyadh,21000
Mercedes,C,2016,Saudi,Full,Automatic,50000,Makkah,0
Toyota,Avalon,2013,Saudi,Full,Automatic,200300,Riyadh,43000
FAW,B50,2016,Other,Semi Full,Automatic,125000,Yanbu,20000
Honda,Accord,2012,Saudi,Full,Automatic,300,Tabouk,36000
Toyota,Camry,2016,Saudi,Semi Full,Automatic,186,Dammam,0
Dodge,Durango,2013,Saudi,Semi Full,Automatic,253,Riyadh,29000
Toyota,Hiace,2016,Saudi,Standard,Manual,331000,Riyadh,62000
Toyota,Camry,2020,Saudi,Full,Automatic,53000,Makkah,0
Chevrolet,Tahoe,2012,Saudi,Semi Full,Automatic,4691232,Al-Jouf,0
Chevrolet,Pick up,1981,Saudi,Full,Automatic,350000,Al-Jouf,30000
Hyundai,Sonata,2020,Saudi,Full,Automatic,11000,Makkah,110000
Other,Other,2009,Other,Standard,Manual,1300,Al-Medina,26000
Dodge,Durango,2013,Saudi,Semi Full,Automatic,340000,Riyadh,0
Mercedes,C,2016,Saudi,Semi Full,Automatic,104000,Riyadh,110000
Audi,A8,2015,Saudi,Semi Full,Automatic,137000,Riyadh,0
Hyundai,Bus County,2016,Saudi,Standard,Manual,132852,Riyadh,85000
Hyundai,Senta fe,2015,Saudi,Semi Full,Automatic,230000,Jeddah,0
Mercedes,G,2016,Saudi,Full,Automatic,150000,Qassim,0
Toyota,Camry,2008,Saudi,Semi Full,Automatic,468,Riyadh,22000
Hyundai,Sonata,2016,Saudi,Full,Automatic,88100,Riyadh,0
Maserati,Gamble,2015,Saudi,Full,Automatic,76000,Khobar,150000
Toyota,Rav4,2017,Saudi,Semi Full,Automatic,190000,Jeddah,60000
Hyundai,Accent,2015,Saudi,Standard,Automatic,176000,Dammam,24000
Toyota,Furniture,2015,Saudi,Semi Full,Automatic,205000,Riyadh,61000
Kia,Carnival,2014,Other,Standard,Automatic,259066,Riyadh,40000
Toyota,Hilux,2016,Saudi,Full,Manual,268000,Najran,0
Mercedes,E,2017,Other,Full,Automatic,21000,Dammam,275000
Ford,Expedition,2015,Saudi,Semi Full,Automatic,225000,Riyadh,80000
Toyota,Camry,2020,Saudi,Semi Full,Automatic,53800,Hafar Al-Batin,1700
Mazda,CX5,2021,Saudi,Standard,Automatic,5500,Khobar,1262
Ford,Transit,2015,Gulf Arabic,Standard,Manual,157000,Riyadh,0
Nissan,Sunny,2018,Saudi,Standard,Automatic,99000,Dammam,26000
Jeep,Grand Cherokee,2012,Other,Full,Automatic,210000,Riyadh,47000
Chevrolet,Tahoe,2017,Saudi,Semi Full,Automatic,153000,Dammam,125000
Toyota,Rush,2020,Saudi,Semi Full,Automatic,19000,Aseer,61000
Kia,Cerato,2018,Saudi,Standard,Automatic,57000,Dammam,39500
Jeep,Grand Cherokee,2015,Saudi,Full,Automatic,196,Makkah,83000
Lexus,LX,2021,Saudi,Full,Automatic,9100,Dammam,459000
Mercedes,S,2021,Saudi,Full,Automatic,49000,Jeddah,375000
Nissan,X-Trail,2016,Saudi,Standard,Automatic,115000,Riyadh,50000
Hyundai,Tucson,2011,Saudi,Semi Full,Automatic,190000,Jeddah,25000
Dodge,Durango,2014,Saudi,Standard,Automatic,238,Jubail,0
Dodge,Charger,2016,Saudi,Full,Automatic,99000,Riyadh,215000
Dodge,Charger,2019,Saudi,Semi Full,Automatic,51000,Jubail,2069
Toyota,Land Cruiser,2013,Saudi,Standard,Manual,422000,Dammam,0
Kia,Opirus,2006,Other,Semi Full,Automatic,25500,Riyadh,14000
Toyota,Yaris,2011,Saudi,Standard,Manual,330000,Dammam,15000
Toyota,Camry,2009,Saudi,Standard,Manual,374000,Al-Ahsa,25000
Ford,Expedition,2012,Saudi,Full,Automatic,179500,Jeddah,50000
Ford,Explorer,2015,Gulf Arabic,Standard,Automatic,206400,Riyadh,53000
Nissan,Datsun,2016,Saudi,Full,Manual,22000,Riyadh,45000
Toyota,Camry,2016,Saudi,Full,Automatic,75000,Riyadh,62000
Ford,Explorer,2013,Saudi,Full,Automatic,259000,Dammam,0
Chevrolet,Caprice,2007,Gulf Arabic,Semi Full,Automatic,300,Riyadh,15000
Ford,Taurus,2011,Saudi,Semi Full,Automatic,230,Riyadh,35000
Mitsubishi,Pajero,2016,Saudi,Semi Full,Automatic,271000,Riyadh,55000
Toyota,Prado,2020,Saudi,Full,Automatic,8000,Jeddah,174000
Toyota,Cressida,1996,Saudi,Semi Full,Manual,100000,Al-Medina,6500
Kia,Mohave,2014,Saudi,Standard,Automatic,256000,Riyadh,30000
Toyota,Hilux,2020,Saudi,Semi Full,Manual,17800,Jubail,0
Hyundai,Tucson,2017,Saudi,Full,Automatic,101,Al-Medina,65000
Toyota,Corolla,2018,Saudi,Standard,Automatic,47286,Dammam,49000
Toyota,FJ,2017,Saudi,Semi Full,Automatic,127000,Dammam,117000
Hyundai,Azera,2016,Saudi,Full,Automatic,146000,Jeddah,56500
Toyota,Prado,2005,Gulf Arabic,Semi Full,Manual,315,Makkah,30000
Ford,Taurus,2012,Saudi,Standard,Automatic,132000,Riyadh,45000
Ford,Expedition,2008,Other,Full,Automatic,299000,Dammam,22000
Dodge,Charger,2006,Gulf Arabic,Standard,Automatic,300,Riyadh,0
Hyundai,Sonata,2016,Other,Full,Automatic,223,Taef,0
Chevrolet,Optra,2009,Saudi,Semi Full,Manual,290000,Dammam,7500
Kia,Cerato,2019,Gulf Arabic,Semi Full,Automatic,105280,Jubail,0
Hyundai,Accent,2013,Saudi,Standard,Automatic,85000,Al-Medina,16000
Mazda,CX9,2011,Saudi,Full,Automatic,315000,Al-Medina,33000
BMW,The 5,2016,Saudi,Full,Automatic,250000,Riyadh,59000
Toyota,Corolla,2018,Saudi,Standard,Automatic,245000,Khobar,41000
Chevrolet,Malibu,2016,Saudi,Semi Full,Automatic,87000,Dammam,0
Toyota,Camry,2017,Saudi,Standard,Automatic,52000,Dammam,0
Mitsubishi,Pajero,2017,Saudi,Semi Full,Automatic,73000,Dammam,0
Ford,Taurus,2016,Saudi,Standard,Automatic,29000,Dammam,0
Toyota,Hilux,2018,Saudi,Semi Full,Manual,67000,Dammam,0
Isuzu,D-MAX,2007,Saudi,Semi Full,Manual,452000,Dammam,0
Hyundai,H1,2017,Saudi,Standard,Manual,100000,Dammam,0
Toyota,Furniture,2014,Saudi,Standard,Automatic,160000,Dammam,0
Toyota,Camry,2017,Saudi,Standard,Automatic,111000,Dammam,0
Chevrolet,Silverado,2016,Saudi,Semi Full,Automatic,153000,Dammam,0
Toyota,Corolla,2019,Saudi,Standard,Automatic,45000,Dammam,0
GMC,Sierra,2018,Saudi,Full,Automatic,17000,Dammam,0
Toyota,Corolla,2018,Saudi,Standard,Automatic,106000,Dammam,0
Toyota,Hilux,2016,Gulf Arabic,Semi Full,Automatic,68700,Dammam,0
Nissan,Navara,2016,Saudi,Standard,Manual,86000,Dammam,0
Toyota,FJ,2015,Saudi,Semi Full,Automatic,225000,Dammam,0
Isuzu,Dyna,2016,Saudi,Standard,Manual,101000,Dammam,0
Renault,Dokker,2018,Saudi,Standard,Manual,140000,Dammam,0
Mazda,3,2013,Saudi,Standard,Automatic,172000,Dammam,0
Chevrolet,Cruze,2017,Saudi,Standard,Automatic,129000,Dammam,0
GMC,Sierra,2015,Saudi,Standard,Automatic,137000,Dammam,0
Toyota,Yaris,2019,Saudi,Standard,Automatic,63000,Dammam,0
Mitsubishi,Pajero,2017,Saudi,Semi Full,Automatic,147000,Dammam,0
Nissan,X-Trail,2017,Saudi,Standard,Automatic,57000,Dammam,0
Nissan,Navara,2016,Saudi,Standard,Manual,273000,Dammam,0
Nissan,Navara,2013,Saudi,Semi Full,Automatic,76000,Dammam,0
Nissan,Navara,2016,Saudi,Standard,Manual,141000,Dammam,0
Toyota,Camry,2016,Saudi,Standard,Automatic,90000,Dammam,0
Toyota,Corolla,2017,Saudi,Standard,Automatic,101000,Dammam,0
Renault,Dokker,2018,Saudi,Standard,Manual,101000,Dammam,0
Hyundai,Sonata,2018,Saudi,Standard,Automatic,184,Qassim,0
Genesis,G80,2017,Saudi,Semi Full,Automatic,188000,Al-Ahsa,0
Toyota,Land Cruiser,2015,Saudi,Full,Automatic,200000,Qurayyat,0
Mazda,CX9,2021,Saudi,Standard,Automatic,3800,Al-Medina,0
Lexus,LX,2017,Gulf Arabic,Full,Automatic,80897,Riyadh,350000
Lexus,GX,2015,Saudi,Full,Automatic,170000,Dammam,135000
Chevrolet,Traverse,2012,Saudi,Standard,Automatic,280000,Riyadh,0
Nissan,Datsun,2011,Saudi,Semi Full,Manual,390,Qassim,23500
Chevrolet,Tahoe,2015,Saudi,Standard,Automatic,179,Riyadh,102000
Hyundai,Sonata,2013,Saudi,Semi Full,Automatic,300,Riyadh,0
Peugeot,301,2014,Saudi,Semi Full,Automatic,100000,Makkah,16000
Toyota,Land Cruiser 70,2012,Gulf Arabic,Semi Full,Manual,286000,Tabouk,66000
Toyota,Camry,1999,Saudi,Standard,Manual,400,Tabouk,20000
Hyundai,Elantra,2011,Other,Semi Full,Manual,290,Riyadh,12000
Toyota,Camry,2016,Saudi,Semi Full,Automatic,180000,Riyadh,27000
Chrysler,C300,2013,Other,Full,Automatic,178000,Dammam,45000
Chevrolet,Caprice,2013,Saudi,Standard,Automatic,54000,Dammam,79000
Toyota,Hilux,2015,Gulf Arabic,Semi Full,Manual,310,Riyadh,40000
Toyota,Land Cruiser,2012,Saudi,Full,Automatic,311000,Jeddah,115000
Ford,Mustang,2007,Saudi,Full,Manual,300000,Jeddah,28000
Chevrolet,Tahoe,2011,Saudi,Semi Full,Automatic,275000,Aseer,40000
Chevrolet,Suburban,2012,Saudi,Standard,Automatic,220,Jeddah,65000
Toyota,Yaris,2017,Saudi,Standard,Automatic,127000,Jeddah,29000
Nissan,Patrol,2019,Saudi,Full,Automatic,77000,Riyadh,0
Toyota,Camry,2004,Saudi,Semi Full,Manual,400000,Riyadh,15000
Kia,Cerato,2016,Other,Semi Full,Automatic,62000,Qassim,44000
Toyota,Furniture,2014,Saudi,Full,Automatic,400000,Sakaka,50000
Toyota,FJ,2010,Saudi,Semi Full,Automatic,300700,Riyadh,60000
BMW,X,2004,Saudi,Full,Automatic,150,Jeddah,16000
Isuzu,D-MAX,2020,Saudi,Full,Manual,102900,Wadi Dawasir,0
Kia,Carnival,2008,Saudi,Full,Automatic,270000,Riyadh,0
Hyundai,H1,2014,Saudi,Full,Automatic,185,Al-Medina,39000
Nissan,Land Cruiser Pickup,2014,Gulf Arabic,Full,Automatic,217000,Jeddah,0
Toyota,Camry,2016,Saudi,Standard,Automatic,250000,Dammam,0
Kia,Rio,2019,Saudi,Full,Automatic,48000,Riyadh,38000
Toyota,Land Cruiser,2013,Saudi,Full,Automatic,400000,Qassim,0
Toyota,Land Cruiser,2013,Saudi,Full,Automatic,199,Riyadh,0
Nissan,Altima,2010,Saudi,Full,Automatic,236660,Al-Ahsa,0
Lexus,ES,2019,Saudi,Full,Automatic,47000,Jeddah,190000
Toyota,Ciocca,2016,Saudi,Semi Full,Automatic,117000,Najran,140000
Lexus,GS,2018,Gulf Arabic,Full,Automatic,95000,Riyadh,250000
Mitsubishi,Pajero,2015,Saudi,Full,Automatic,241000,Jeddah,0
Hyundai,Azera,2013,Saudi,Semi Full,Automatic,300,Al-Medina,0
Hyundai,Sonata,2019,Gulf Arabic,Semi Full,Automatic,28000,Riyadh,64000
Toyota,Yaris,2016,Other,Standard,Automatic,223000,Jubail,25000
Genesis,Prestige,2015,Gulf Arabic,Semi Full,Automatic,85343,Tabouk,81000
Toyota,Land Cruiser,2004,Gulf Arabic,Full,Manual,385000,Riyadh,0
Toyota,Land Cruiser Pickup,2012,Saudi,Semi Full,Manual,300000,Riyadh,0
Toyota,Yaris,2015,Saudi,Standard,Manual,152000,Jazan,0
Toyota,Camry,2018,Saudi,Standard,Automatic,102,Qassim,52000
Kia,Sorento,2016,Saudi,Full,Automatic,116000,Riyadh,53000
Toyota,Hilux,2018,Saudi,Full,Automatic,75000,Aseer,0
Toyota,FJ,2016,Saudi,Full,Automatic,153600,Jubail,0
Hyundai,Sonata,2015,Other,Semi Full,Automatic,156500,Jeddah,0
Honda,Odyssey,2016,Saudi,Semi Full,Automatic,185000,Riyadh,52000
Kia,Carenz,2014,Gulf Arabic,Full,Automatic,150000,Dammam,0
Honda,Odyssey,2012,Saudi,Full,Automatic,360,Al-Medina,0
Hyundai,Accent,2010,Saudi,Semi Full,Manual,198,Qassim,12000
Nissan,Armada,2015,Saudi,Semi Full,Automatic,129500,Riyadh,40000
BMW,The 3,2017,Saudi,Full,Automatic,110000,Khobar,75000
Dodge,Charger,2017,Saudi,Full,Automatic,140000,Dammam,80000
Hummer,H3,2006,Saudi,Full,Automatic,450000,Riyadh,0
Honda,Accord,2015,Saudi,Full,Automatic,137000,Dammam,68000
Toyota,Hilux,2014,Gulf Arabic,Full,Manual,290000,Riyadh,40000
Hyundai,Elantra,2016,Saudi,Standard,Automatic,180000,Makkah,0
Jeep,Compass,2011,Saudi,Full,Automatic,245000,Riyadh,24000
GMC,Yukon,2014,Saudi,Full,Automatic,386000,Riyadh,0
Mitsubishi,Attrage,2019,Saudi,Standard,Automatic,19000,Dammam,32000
Kia,Rio,2012,Other,Full,Automatic,179,Riyadh,18000
Toyota,Avalon,2019,Saudi,Semi Full,Automatic,65000,Dammam,123000
Mazda,3,2015,Saudi,Full,Automatic,74000,Jeddah,55000
Toyota,Land Cruiser,2011,Saudi,Full,Automatic,233000,Riyadh,0
Toyota,Hilux,2016,Other,Standard,Manual,146000,Riyadh,0
Ford,F150,2017,Saudi,Full,Automatic,28000,Al-Medina,175000
Audi,A8,2015,Saudi,Full,Automatic,56000,Riyadh,0
Ford,Explorer,2008,Saudi,Full,Automatic,315000,Riyadh,0
Toyota,Yaris,2020,Saudi,Standard,Automatic,23000,Makkah,45000
Toyota,Land Cruiser Pickup,2020,Saudi,Full,Manual,31888,Riyadh,155000
Toyota,Hilux,1991,Gulf Arabic,Standard,Manual,9999,Riyadh,16000
Toyota,Land Cruiser,2013,Gulf Arabic,Full,Automatic,186,Tabouk,138000
Chevrolet,Suburban,1999,Other,Full,Automatic,290000,Riyadh,0
Hyundai,Sonata,2016,Saudi,Full,Automatic,155,Riyadh,48000
Toyota,Avalon,2013,Saudi,Semi Full,Automatic,243000,Riyadh,0
